tipo_persona	n_deudas_actual	proxy_edad_actual	deuda_total_actual	deuda_con_garantia_actual	situacion_mes_actual	prop_con_garantia_actual	tiene_garantia_actual	mora_30_dias_mes_actual	n_meses_seg_bcra	media_deuda_total	media_deuda_situacion_1	media_deuda_situacion_2	media_deuda_con_garantia	media_deuda_sin_garantia	media_deuda_en_default	max_situacion_mes	max_sit_mes_sin_garantia	media_prop_situacion_1	media_prop_situacion_2	media_prop_default	media_prop_con_garantia	prop_tuvo_garantia	prop_mora_30_dias_seg	prop_default_seg	default	tiene_default_historico	tiene_garantia_historica
20	3	82	90	0	1	0	0	0	7	185.14285714285714	104.42857142857143	8.714285714285714	0	185.14285714285714	72	4	4	0.5979453911393101	0.04257155038812152	0.3594830584725684	0	0	0.8571428571428571	0.8571428571428571	1	1	0
20	1	285	44	0	1	0	0	0	5	43.2	43.2	0	0	43.2	0	1	1	1	0	0	0	0	0	0	0	0	0
20	2	76	76	0	1	0	0	0	7	109.42857142857143	92.57142857142857	16.857142857142858	0	109.42857142857143	0	2	2	0.8769551616266945	0.12304483837330552	0	0	0	0.14285714285714285	0	0	0	0
20	2	331	30	0	1	0	0	0	6	12.833333333333334	12.833333333333334	0	0	12.833333333333334	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	336	14	0	2	0	0	1	7	14.571428571428571	12.571428571428571	2	0	14.571428571428571	0	2	2	0.8571428571428571	0.14285714285714285	0	0	0	0.14285714285714285	0	0	0	0
20	2	339	16	0	1	0	0	0	7	12.571428571428571	12.571428571428571	0	0	12.571428571428571	0	1	1	1	0	0	0	0	0	0	0	0	0
Global	2	262	41	0	1	0	0	0	7	44.285714285714285	44.285714285714285	0	0	44.285714285714285	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	368	2	0	1	0	0	0	2	2	2	0	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	42	81	0	1	0	0	0	7	79.28571428571429	79.28571428571429	0	0	79.28571428571429	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	180	87	0	1	0	0	0	7	76.71428571428571	76.71428571428571	0	0	76.71428571428571	0	1	1	1	0	0	0	0	0	0	0	0	0
27	4	129	93	0	1	0	0	0	7	91.28571428571429	91.28571428571429	0	0	91.28571428571429	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	43	28	0	1	0	0	0	7	29.714285714285715	29.714285714285715	0	0	29.714285714285715	0	1	1	1	0	0	0	0	0	0	0	0	0
20	2	101	15	0	1	0	0	0	7	17.142857142857142	17.142857142857142	0	0	17.142857142857142	0	1	1	1	0	0	0	0	0	0	0	0	0
20	2	220	24	0	1	0	0	0	7	24.714285714285715	24.714285714285715	0	0	24.714285714285715	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	54	1	0	1	0	0	0	7	3.2857142857142856	3.2857142857142856	0	0	3.2857142857142856	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	352	9	0	1	0	0	0	6	15.666666666666666	15.666666666666666	0	0	15.666666666666666	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	0	7	0	1	0	0	0	3	7.666666666666667	7.666666666666667	0	0	7.666666666666667	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	250	18	0	1	0	0	0	7	14.714285714285714	14.714285714285714	0	0	14.714285714285714	0	1	1	1	0	0	0	0	0	0	0	0	0
Global	2	118	14	0	1	0	0	0	7	16.571428571428573	16.571428571428573	0	0	16.571428571428573	0	1	1	1	0	0	0	0	0	0	0	0	0
20	2	262	20	0	1	0	0	0	7	11.857142857142858	11.571428571428571	0	0	11.857142857142858	0.2857142857142857	5	5	0.987012987012987	0	0.012987012987012988	0	0	0.14285714285714285	0.14285714285714285	1	1	0
20	2	260	86	0	1	0	0	0	7	44	44	0	0	44	0	1	1	1	0	0	0	0	0	0	0	0	0
27	5	269	52	0	1	0	0	0	7	31.857142857142858	31.857142857142858	0	0	31.857142857142858	0	1	1	1	0	0	0	0	0	0	0	0	0
27	3	47	55	0	1	0	0	0	7	52.857142857142854	52.857142857142854	0	0	52.857142857142854	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	45	1	0	1	0	0	0	6	1.8333333333333333	1.8333333333333333	0	0	1.8333333333333333	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	230	12	0	1	0	0	0	7	15.285714285714286	15.285714285714286	0	0	15.285714285714286	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	42	25	0	1	0	0	0	7	25.857142857142858	25.857142857142858	0	0	25.857142857142858	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	399	25	0	1	0	0	0	6	17.833333333333332	17.833333333333332	0	0	17.833333333333332	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	128	41	0	1	0	0	0	7	39.714285714285715	39.714285714285715	0	0	39.714285714285715	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	383	2	0	1	0	0	0	6	4.5	4.5	0	0	4.5	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	56	87	0	1	0	0	0	7	94.71428571428571	94.71428571428571	0	0	94.71428571428571	0	1	1	1	0	0	0	0	0	0	1	0	0
27	1	266	19	0	1	0	0	0	6	8.833333333333334	8.833333333333334	0	0	8.833333333333334	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	271	23	0	1	0	0	0	7	24.571428571428573	24.571428571428573	0	0	24.571428571428573	0	1	1	1	0	0	0	0	0	0	0	0	0
Global	1	317	30	0	1	0	0	0	5	25.8	25.8	0	0	25.8	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	371	34	0	1	0	0	0	3	41.333333333333336	41.333333333333336	0	0	41.333333333333336	0	1	1	1	0	0	0	0	0	0	1	0	0
Global	2	296	56	0	1	0	0	0	7	58	58	0	0	58	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	54	10	0	1	0	0	0	7	11.285714285714286	11.285714285714286	0	0	11.285714285714286	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	386	28	0	1	0	0	0	7	15.857142857142858	15.857142857142858	0	0	15.857142857142858	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	200	32	0	1	0	0	0	7	39.142857142857146	39.142857142857146	0	0	39.142857142857146	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	6	1	0	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	126	25	0	1	0	0	0	6	25	25	0	0	25	0	1	1	1	0	0	0	0	0	0	0	0	0
20	1	240	15	0	2	0	0	1	6	13	10.5	2.5	0	13	0	2	2	0.8333333333333334	0.16666666666666666	0	0	0	0.16666666666666666	0	1	0	0
27	2	27	13	0	1	0	0	0	7	16	16	0	0	16	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	41	3	0	1	0	0	0	6	5.166666666666667	5.166666666666667	0	0	5.166666666666667	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	217	81	50	1	0.6172839506172839	1	0	7	83.71428571428571	83.71428571428571	0	7.142857142857143	76.57142857142857	0	1	1	1	0	0	0.08818342151675485	0.14285714285714285	0	0	0	0	1
27	1	315	23	0	1	0	0	0	7	27	27	0	0	27	0	1	1	1	0	0	0	0	0	0	0	0	0
27	2	274	26	0	1	0	0	0	7	17.714285714285715	17.714285714285715	0	0	17.714285714285715	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	65	3	0	1	0	0	0	6	5.5	5.5	0	0	5.5	0	1	1	1	0	0	0	0	0	0	0	0	0
27	1	173	65	0	1	0	0	0	7	55.57142857142857	55.57142857142857	0	0	55.57142857142857	0	1	1	1	0	0	0	0	0	0	0	0	0
