tipo_persona	proxy_edad_actual	prop_con_garantia_actual	n_meses_seg_bcra	max_situacion_mes	max_sit_mes_sin_garantia	media_prop_situacion_1	media_prop_situacion_2	media_prop_default	media_prop_con_garantia	prop_tuvo_garantia	prop_mora_30_dias_seg	prop_default_seg	default	tiene_default_historico	tiene_garantia_historica	proxy_edad_actual_sqrt	prop_con_garantia_actual_sqrt	n_meses_seg_bcra_sqrt	media_prop_situacion_1_sqrt	media_prop_situacion_2_sqrt	media_prop_default_sqrt	media_prop_con_garantia_sqrt	prop_tuvo_garantia_sqrt	prop_mora_30_dias_seg_sqrt	prop_default_seg_sqrt	proxy_edad_actual_pot	prop_con_garantia_actual_pot	n_meses_seg_bcra_pot	media_prop_situacion_1_pot	media_prop_situacion_2_pot	media_prop_default_pot	media_prop_con_garantia_pot	prop_tuvo_garantia_pot	prop_mora_30_dias_seg_pot	prop_default_seg_pot
20	271	0	7	2	2	0.8089811423144756	0.19101885768552437	0	0	0	0.2857142857142857	0	1	0	0	16.46207763315433	0	2.6457513110645907	0.8994337898447421	0.43705704168394816	0	0	0	0.5345224838248488	0	73441	0	49	0.6544504886204339	0.036488203991482615	0	0	0	0.08163265306122448	0
27	386	0	3	1	1	1	0	0	0	0	0	0	0	0	0	19.6468827043885	0	1.7320508075688772	1	0	0	0	0	0	0	148996	0	9	1	0	0	0	0	0	0
27	119	0	7	1	1	1	0	0	0	0	0	0	0	0	0	10.908712114635714	0	2.6457513110645907	1	0	0	0	0	0	0	14161	0	49	1	0	0	0	0	0	0
27	138	0	6	1	1	1	0	0	0	0	0	0	0	0	0	11.74734012447073	0	2.449489742783178	1	0	0	0	0	0	0	19044	0	36	1	0	0	0	0	0	0
27	253	0	3	1	1	1	0	0	0	0	0	0	0	0	0	15.905973720586866	0	1.7320508075688772	1	0	0	0	0	0	0	64009	0	9	1	0	0	0	0	0	0
27	57	0	7	3	3	0.9548938572990376	0.04200055263885051	0.0031055900621118	0	0	0.5714285714285714	0.14285714285714285	1	1	0	7.54983443527075	0	2.6457513110645907	0.9771867054452991	0.20494036361549306	0.055727821257535275	0	0	0.7559289460184544	0.3779644730092272	3249	0	49	0.9118222787074348	0.0017640464219688527	9.644689633887575e-6	0	0	0.32653061224489793	0.02040816326530612
20	235	0	7	1	1	1	0	0	0	0	0	0	0	0	0	15.329709716755891	0	2.6457513110645907	1	0	0	0	0	0	0	55225	0	49	1	0	0	0	0	0	0
27	178	0	7	1	1	1	0	0	0	0	0	0	0	0	0	13.341664064126334	0	2.6457513110645907	1	0	0	0	0	0	0	31684	0	49	1	0	0	0	0	0	0
20	242	0	5	1	1	1	0	0	0	0	0	0	0	0	0	15.556349186104045	0	2.23606797749979	1	0	0	0	0	0	0	58564	0	25	1	0	0	0	0	0	0
27	360	0	7	1	1	1	0	0	0	0	0	0	0	0	0	18.973665961010276	0	2.6457513110645907	1	0	0	0	0	0	0	129600	0	49	1	0	0	0	0	0	0
20	74	0	7	2	2	0.8571428571428571	0.14285714285714285	0	0	0	0.14285714285714285	0	0	0	0	8.602325267042627	0	2.6457513110645907	0.9258200997725514	0.3779644730092272	0	0	0	0.3779644730092272	0	5476	0	49	0.7346938775510203	0.02040816326530612	0	0	0	0.02040816326530612	0
27	313	0	7	1	1	1	0	0	0	0	0	0	0	0	0	17.69180601295413	0	2.6457513110645907	1	0	0	0	0	0	0	97969	0	49	1	0	0	0	0	0	0
27	342	0	7	4	4	0.5411741134041275	0.15089672232529375	0.3079291642705788	0	0	0.8571428571428571	0.7142857142857143	0	1	0	18.49324200890693	0	2.6457513110645907	0.735645372040175	0.38845427314587977	0.5549136547883633	0	0	0.9258200997725514	0.8451542547285166	116964	0	49	0.2928694210187434	0.022769820808516805	0.09482037020837711	0	0	0.7346938775510203	0.5102040816326531
Global	302	0	7	1	1	1	0	0	0	0	0	0	0	0	0	17.378147196982766	0	2.6457513110645907	1	0	0	0	0	0	0	91204	0	49	1	0	0	0	0	0	0
20	43	0	7	1	1	1	0	0	0	0	0	0	0	0	0	6.557438524302	0	2.6457513110645907	1	0	0	0	0	0	0	1849	0	49	1	0	0	0	0	0	0
27	165	0	7	1	1	1	0	0	0	0	0	0	0	0	0	12.84523257866513	0	2.6457513110645907	1	0	0	0	0	0	0	27225	0	49	1	0	0	0	0	0	0
20	46	0	5	1	1	1	0	0	0	0	0	0	0	0	0	6.782329983125268	0	2.23606797749979	1	0	0	0	0	0	0	2116	0	25	1	0	0	0	0	0	0
27	56	0	7	1	1	1	0	0	0	0	0	0	0	0	0	7.483314773547883	0	2.6457513110645907	1	0	0	0	0	0	0	3136	0	49	1	0	0	0	0	0	0
27	316	0	7	1	1	1	0	0	0	0	0	0	0	0	0	17.776388834631177	0	2.6457513110645907	1	0	0	0	0	0	0	99856	0	49	1	0	0	0	0	0	0
27	293	0	2	1	1	1	0	0	0	0	0	0	0	0	0	17.11724276862369	0	1.4142135623730951	1	0	0	0	0	0	0	85849	0	4	1	0	0	0	0	0	0
27	149	0	7	1	1	1	0	0	0	0	0	0	0	0	0	12.206555615733702	0	2.6457513110645907	1	0	0	0	0	0	0	22201	0	49	1	0	0	0	0	0	0
20	362	0	7	1	1	1	0	0	0	0	0	0	0	0	0	19.026297590440446	0	2.6457513110645907	1	0	0	0	0	0	0	131044	0	49	1	0	0	0	0	0	0
20	61	0	6	1	1	1	0	0	0	0	0	0	0	0	0	7.810249675906654	0	2.449489742783178	1	0	0	0	0	0	0	3721	0	36	1	0	0	0	0	0	0
20	328	0.7631578947368421	7	1	1	1	0	0	0.2124708322530464	0.2857142857142857	0	0	0	0	1	18.110770276274835	0.8735890880367281	2.6457513110645907	1	0	0	0.46094558491545007	0.5345224838248488	0	0	107584	0.582409972299169	49	1	0	0	0.04514385455830218	0.08163265306122448	0	0
27	141	0	5	1	1	1	0	0	0	0	0	0	0	0	0	11.874342087037917	0	2.23606797749979	1	0	0	0	0	0	0	19881	0	25	1	0	0	0	0	0	0
20	63	0	6	1	1	1	0	0	0	0	0	0	0	0	0	7.937253933193772	0	2.449489742783178	1	0	0	0	0	0	0	3969	0	36	1	0	0	0	0	0	0
